subj_idx,species,coh,rt,response,subjectID
238,human,0.02,1.530656,1,459
238,human,0.08,0.83056,1,459
238,human,0.02,1.180391,1,459
238,human,0.08,0.846956,1,459
238,human,0.02,2.762697,1,459
238,human,0.08,0.980149,1,459
238,human,0.08,2.579897,1,459
238,human,0.02,1.996485,1,459
238,human,0.32,0.613973,1,459
238,human,0.06,0.563867,1,459
238,human,0.06,0.597331,1,459
238,human,0.08,0.480652,1,459
238,human,0.24,0.497322,1,459
238,human,0.04,0.846927,1,459
238,human,0.04,0.813945,1,459
238,human,0.08,0.913867,1,459
238,human,0.16,0.580513,1,459
238,human,0.24,0.580702,1,459
238,human,0.12,0.580545,1,459
238,human,0.16,0.54754,1,459
238,human,0.08,1.6633,1,459
238,human,0.08,0.513854,1,459
238,human,0.16,0.680633,1,459
238,human,0.12,0.513986,1,459
238,human,0.04,1.496703,1,459
238,human,0.12,0.530481,1,459
238,human,0.12,0.597311,1,459
238,human,0.12,1.196845,1,459
238,human,0.16,0.530512,1,459
238,human,0.32,0.514303,1,459
238,human,0.08,0.697288,1,459
238,human,0.32,0.680424,1,459
238,human,0.12,0.680402,1,459
238,human,0.06,1.313458,1,459
238,human,0.16,0.647496,1,459
238,human,0.04,0.731708,1,459
238,human,0.08,1.146936,1,459
238,human,0.12,0.613965,1,459
238,human,0.06,0.963671,1,459
238,human,0.02,0.597103,0,459
238,human,0.08,1.480424,1,459
238,human,0.06,0.814075,1,459
238,human,0.12,0.580537,1,459
238,human,0.12,0.680706,1,459
238,human,0.16,1.046856,1,459
238,human,0.04,1.813252,0,459
238,human,0.02,1.746963,1,459
238,human,0.04,1.08057,1,459
238,human,0.16,0.630643,1,459
238,human,0.06,0.846968,1,459
238,human,0.12,1.03044,1,459
238,human,0.08,0.580471,1,459
238,human,0.08,0.54713,1,459
238,human,0.12,0.580712,1,459
238,human,0.12,0.730635,1,459
238,human,0.08,0.614361,1,459
238,human,0.04,1.846532,1,459
238,human,0.02,0.547287,1,459
238,human,0.12,1.047065,1,459
238,human,0.04,0.813866,1,459
238,human,0.06,0.847062,1,459
238,human,0.04,1.89692,0,459
238,human,0.12,0.630838,1,459
238,human,0.12,0.530462,1,459
238,human,0.32,0.530461,1,459
238,human,0.04,3.246011,1,459
238,human,0.06,0.64748,1,459
238,human,0.06,1.313221,1,459
238,human,0.12,0.630491,1,459
238,human,0.06,1.180161,1,459
238,human,0.12,0.763683,1,459
