subj_idx,species,coh,rt,response,subjectID
8,rat,1,0.687583,1,381
8,rat,0.8,0.887543,0,381
8,rat,0.9,0.707593,1,381
8,rat,0.9,0.697562,1,381
8,rat,0.7,0.71759,0,381
8,rat,0.6,1.527282,0,381
8,rat,1,0.687599,1,381
8,rat,0.8,1.027616,0,381
8,rat,0.7,1.087517,0,381
8,rat,1,0.857531,1,381
8,rat,0.6,0.877504,0,381
8,rat,0.9,0.797232,1,381
8,rat,0.6,0.707531,0,381
8,rat,0.9,0.757548,1,381
8,rat,0.7,0.677496,1,381
8,rat,0.7,0.647539,1,381
8,rat,0.6,0.637568,0,381
8,rat,1,0.687495,1,381
8,rat,0.8,0.817538,1,381
8,rat,0.7,1.267468,1,381
8,rat,1,0.777506,1,381
8,rat,0.8,0.81755,1,381
8,rat,0.6,0.977566,1,381
8,rat,0.6,0.647629,0,381
8,rat,0.9,1.127539,1,381
8,rat,0.7,0.707573,0,381
8,rat,0.9,1.347453,1,381
8,rat,0.6,0.717543,1,381
8,rat,0.8,0.667563,1,381
8,rat,0.7,0.547507,1,381
8,rat,1,0.517509,1,381
8,rat,0.9,0.667493,1,381
8,rat,0.8,0.677572,1,381
8,rat,0.9,0.637563,1,381
8,rat,0.8,0.667484,0,381
8,rat,0.8,0.687612,0,381
8,rat,0.7,0.567645,1,381
8,rat,0.8,0.667577,0,381
8,rat,0.9,0.747582,1,381
8,rat,0.7,0.687576,0,381
8,rat,0.9,0.527507,0,381
8,rat,0.7,0.667627,1,381
8,rat,0.7,0.907539,1,381
8,rat,0.9,1.357479,1,381
8,rat,0.8,0.587514,1,381
8,rat,0.8,0.837503,1,381
8,rat,1,0.827559,1,381
8,rat,0.8,0.977582,1,381
8,rat,0.9,1.047555,1,381
8,rat,0.7,0.767541,1,381
8,rat,0.8,0.727518,1,381
8,rat,0.8,0.897466,1,381
8,rat,0.9,0.587591,1,381
8,rat,0.6,0.677558,1,381
8,rat,0.7,0.55754,0,381
8,rat,1,0.647532,0,381
8,rat,1,0.647567,1,381
